dict,csv
None,C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/random_65.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/systematic_65_98494941304801395478184421979593253002.csv
None,C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/random_70.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/systematic_70_98494941304801395478184421979593253002.csv
None,C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/random_75.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/systematic_75_98494941304801395478184421979593253002.csv
None,C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/random_80.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/systematic_80_98494941304801395478184421979593253002.csv
None,C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/random_85.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/systematic_85_98494941304801395478184421979593253002.csv
None,C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/random_90.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/systematic_90_98494941304801395478184421979593253002.csv
None,C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/random_95.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/systematic_95_98494941304801395478184421979593253002.csv
None,C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/random_100.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/systematic_100_98494941304801395478184421979593253002.csv
